"","Condition","Subject","ICS","typUS","typCS","pdset","pdval","pd.rt","prerating","postrating","vm.resp","vm.rt","vm.correct","im.correct","im.rt","pdtrain.correct"
"1","Exclusion","100","HM01","neg","neg","Attitude","pleasant",3739,-100,-100,"dont know",723,NA,"TRUE",4944,0.75
"2","Exclusion","100","HM05","pos","neutral","Memory","pleasant",2489,15,73,"pleasant",404,"TRUE","TRUE",9629,0.75
"3","Exclusion","100","HM06","neg","neg","Attitude","pleasant",1191,-100,-100,"dont know",1302,NA,"FALSE",2198,0.75
"4","Exclusion","100","HM16","pos","neutral","Memory","pleasant",6720,5,-14,"dont know",1594,NA,"FALSE",1775,0.75
"5","Exclusion","100","HM19","pos","pos","Attitude","unpleasant",2521,80,93,"dont know",956,NA,"TRUE",4372,0.75
"6","Exclusion","100","HM22","neg","neg","Attitude","pleasant",1150,-100,-100,"dont know",1714,NA,"TRUE",2837,0.75
"7","Exclusion","100","HM25","neg","neutral","Memory","unpleasant",4135,-11,-20,"unpleasant",1209,"TRUE","TRUE",5268,0.75
"8","Exclusion","100","HM28","pos","neutral","Memory","pleasant",2229,3,34,"pleasant",1025,"TRUE","TRUE",3368,0.75
"9","Exclusion","100","HM29","neg","neutral","Memory","unpleasant",3296,5,-23,"dont know",1198,NA,"FALSE",4139,0.75
"10","Exclusion","100","HM31","pos","neutral","Memory","pleasant",4874,12,14,"dont know",1780,NA,"TRUE",4936,0.75
"11","Exclusion","100","HM32","pos","neutral","Attitude","pleasant",5432,-14,-45,"dont know",1301,NA,"TRUE",5251,0.75
"12","Exclusion","100","HM37","neg","neg","Attitude","pleasant",2410,-100,-100,"unpleasant",3382,"TRUE","TRUE",8591,0.75
"13","Exclusion","100","HM39","neg","neutral","Attitude","pleasant",10551,5,-18,"unpleasant",1178,"TRUE","FALSE",8013,0.75
"14","Exclusion","100","HM43","neg","neg","Attitude","pleasant",4207,-100,-100,"unpleasant",1247,"TRUE","TRUE",7940,0.75
"15","Exclusion","100","HM45","neg","neg","Attitude","pleasant",2173,-100,-71,"dont know",636,NA,"FALSE",5955,0.75
"16","Exclusion","100","HM47","neg","neg","Memory","unpleasant",2145,-100,-100,"unpleasant",983,"TRUE","FALSE",3663,0.75
"17","Exclusion","100","HM48","pos","neutral","Memory","pleasant",12615,14,4,"dont know",1887,NA,"TRUE",7315,0.75
"18","Exclusion","100","HM50","pos","neutral","Memory","pleasant",1396,3,100,"pleasant",397,"TRUE","FALSE",6582,0.75
"19","Exclusion","100","HM51","neg","neutral","Attitude","unpleasant",3524,11,-52,"dont know",1144,NA,"FALSE",7836,0.75
"20","Exclusion","100","HM55","neg","neutral","Memory","unpleasant",390,1,-72,"unpleasant",894,"TRUE","TRUE",4839,0.75
